"m/z" "var_m/z" "max_int" "sum_int" "RT" "minRT" "maxRT" "part_ID" "EIC_ID" "peak_ID" "Score"
"19" 213.186906111868 2.62257390010408e-09 579851008 4531321275.47656 1184.6 1174.86 1207.6 2603 4022 2087 0
"20" 235.148105232083 4.92112115532363e-09 503509152 3793887667.5 1253.58 1237.66 1280.1 3037 5241 2920 0
"21" 295.190442766462 2.12717206538224e-08 500883744 3381150683.29688 1276.56 1264.19 1294.25 4115 8563 5516 0
"22" 291.272267987651 1.50493716680875e-08 479282528 3146646151.125 1158.93 1152.73 1179.28 4046 8387 5405 0
"23" 192.12103592722 2.07858480735659e-09 471300416 3667911807.25781 859.688 848.848 882.115 2173 2954 1395 0
"24" 263.240977237099 3.537833478678e-09 467458816 3259669777.375 1075.62 1069.43 1102.15 3534 6852 4251 0
"25" 202.216528123425 2.58717405539687e-09 463973184 2875703550.90625 1071.2 1062.36 1089.77 2389 3451 1740 0
"26" 281.209112351941 9.09091003479496e-09 452398304 2986904636.5 932.944 926.723 953.285 3842 7819 4977 0
"27" 297.130254572088 1.07545114218811e-08 447353024 2818007581 1050.69 1031.24 1069.43 4145 8670 5600 0
"28" 302.305284367051 8.08487005804068e-09 444036704 2920603291.51172 1208.48 1197.87 1235.01 4245 8981 5850 0
"29" 277.179876154119 1.66456681729371e-08 433856256 3423980577.5 1273.03 1263.3 1302.21 3773 7597 4798 0
"30" 236.154332341375 5.38167406667818e-09 431083840 3392451356.42969 1242.97 1224.4 1264.19 3053 5288 2957 0
"31" 275.234604273087 1.28361639062724e-08 416754336 2707726966.42578 805.52 786.145 830.108 3734 7494 4722 0
"32" 319.27304274036 5.27348890099474e-09 407893984 2627451855.35938 1027.7 1020.63 1047.15 4514 9938 6565 0
"33" 288.289827045641 4.8684751429753e-08 407649088 2574749536 1163.37 1157.15 1173.1 3981 8191 5287 0
"34" 290.110222311581 5.70414325557716e-09 406440160 3131394752.67188 1235.01 1225.28 1254.46 4010 8279 5344 0
"35" 282.109151611328 1.55779222647349e-08 394850624 2642711551.9375 1063.24 1056.96 1078.27 3856 7845 4999 0
"36" 174.185293717818 3.4959873918331e-09 392944352 2714449693.9375 941.791 933.832 952.401 1786 2192 976 0
"37" 267.214509041079 2.56724575514434e-08 383324032 2275481316.01562 916.986 904.448 943.559 3595 7055 4421 0
"38" 245.187927246094 3.88381328988583e-09 376856288 3404285961.52734 880.296 863.285 907.143 3201 5791 3354 0
"39" 284.249012538365 6.49954749162866e-09 375751808 2436488034.33203 908.947 896.404 924.068 3902 7989 5126 0
"40" 270.233452796936 3.58915947858364e-09 366461472 2428931659.5 799.929 794.414 822.874 3644 7217 4530 0
"41" 290.178791535206 4.72950991670451e-09 366292704 2751668810.5625 1303.97 1288.06 1326.08 4013 8293 5351 0
"42" 247.174844440661 2.33527810801653e-08 365733280 2880021400.55859 1148.31 1133.09 1169.56 3240 5918 3453 0
"43" 221.132460483285 2.52117168731732e-09 347079424 2657087584.85938 1181.05 1172.21 1209.37 2767 4473 2385 0
"44" 279.100794792175 7.87774972136944e-09 344945920 2504058969.39453 1246.5 1235.01 1262.42 3802 7689 4865 0
"45" 283.175109354655 1.4993241109417e-09 341259296 2766832020.51562 735.811 707.976 762.443 3876 7916 5062 0
"46" 344.227903820219 1.76962105931582e-09 324969920 2335858294.45312 777.03 761.529 799.004 4963 11081 7428 0
"47" 259.18834400177 1.87832366434797e-08 324097152 2088015488.15625 1007.36 1001.18 1028.58 3451 6585 4018 0
"48" 207.116872242519 2.08511936490412e-09 322060544 2716462025.19531 1104.8 1093.3 1141.96 2489 3718 1890 0
"49" 408.149181590361 9.70916234873195e-09 303749504 2148390092.15625 1203.18 1195.22 1224.4 5975 13578 9016 0
"50" 267.208462622858 3.29287622564582e-08 290744704 1975890922.375 932.053 926.723 953.285 3595 7056 4422 0
"51" 288.253281030899 6.02280401829605e-09 278501376 1816923986.45312 1301.32 1290.71 1324.31 3979 8186 5283 0
"52" 315.105777647437 2.09172778740162e-08 273876288 2278362755.64062 967.577 952.401 994.102 4454 9633 6317 0
